广东频道,#genre#
广东珠江,http://113.86.204.95:9999/udp/239.77.0.1:5146
开平综合,http://php.jdshipin.com:8880/chudian.php?id=kpzh
开平生活,http://php.jdshipin.com:8880/chudian.php?id=kpsh
江门综合,http://www.namewee.xyz/gudou.php?id=jiangmenzongheHD
江门侨乡生活,http://www.namewee.xyz/gudou.php?id=jiangmenyitao_1500
广东体育,http://113.100.72.95:8899/udp/239.77.0.112:5146
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
广东新闻,http://113.101.119.52:808/hls/106/index.m3u8
广东卫视,http://219.147.3.106:4455/newlive/live/hls/26/live.m3u8
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
新会综合,http://php.jdshipin.com:8880/chudian.php?id=xhzh
鹤山综合,http://php.jdshipin.com:8880/chudian.php?id=hszh
广州综合,http://www.namewee.xyz/gudou.php?id=gzhounewsHD
广州新闻,http://www.namewee.xyz/gudou.php?id=gzhouzongheHD
广州竞赛,http://www.namewee.xyz/gudou.php?id=gzfilmsgaoqing
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
佛山综合,http://www.namewee.xyz/gudou.php?id=foshanzongheHD_4500
佛山公共,http://www.namewee.xyz/gudou.php?id=foshangonggongHD_4500
佛山影视,http://www.namewee.xyz/gudou.php?id=foshanyingshiHD_4500
顺德综合,http://www.namewee.xyz/gudou.php?id=shundeHD_4500
珠海,http://113.86.204.95:9999/udp/239.77.0.155:5146
深圳卫视,http://219.147.3.106:4455/newlive/live/hls/25/live.m3u8

央视频道,#genre#
CCTV-1,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV-2,http://112.114.137.121:888/hls/2/index.m3u8
CCTV-3,http://114.100.195.107:4022/rtp/238.1.78.170:7232
CCTV-4,http://lu1.cc/itv/php/cctv4k.php
CCTV-5,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV-5+,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV-6,http://117.141.149.101:4431/tsfile/live/faacts/0006_1.m3u8
CCTV-7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-8,http://220.178.185.92:4022/rtp/238.1.78.173:7256
CCTV-9,http://121.24.99.52:8090/hls/17/index.m3u8
CCTV-10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV-11,http://xxw.me0.cn/api/migu.php?id=14
CCTV-12,http://xxw.me0.cn/api/migu.php?id=15
CCTV-13,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV-14,http://222.240.82.92:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-17,http://xxw.me0.cn/api/migu.php?id=19

卫视频道,#genre#
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
广东卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226216/1.m3u8
浙江卫视,http://111.75.151.236:50085/newlive/live/hls/21/live.m3u8
湖南卫视,http://182.122.73.120:8089/hls/30/index.m3u8
北京卫视,http://118.79.7.20:6001/rtp/226.0.2.177:9328
湖北卫视,http://219.147.3.106:4455/newlive/live/hls/32/live.m3u8
黑龙江卫视,http://111.75.151.236:50085/newlive/live/hls/32/live.m3u8
安徽卫视,http://219.147.3.106:4455/newlive/live/hls/21/live.m3u8
重庆卫视,http://125.210.152.19:9123/live/hzgq-cqwsgq-h264.m3u8
东方卫视,http://219.147.3.106:4455/newlive/live/hls/23/live.m3u8
东南卫视,http://219.147.3.106:4455/newlive/live/hls/29/live.m3u8
甘肃卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/1.m3u8
广西卫视,http://222.84.98.48:4200/udp/239.81.0.107:4056
贵州卫视,http://218.13.170.98:9901/tsfile/live/1014_1.m3u8
海南卫视,http://111.75.151.236:50085/newlive/live/hls/42/live.m3u8
河北卫视,http://110.240.239.100:8888/rtp/239.253.92.154:6011
河南卫视,http://219.147.3.106:4455/newlive/live/hls/38/live.m3u8
吉林卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.111:5540
江苏卫视,http://182.122.73.120:8089/hls/31/index.m3u8
江西卫视,http://xxw.me0.cn/api/migu.php?id=26
辽宁卫视,http://221.220.135.32:9999/rtp/239.3.1.210:8056
内蒙古卫视,http://218.13.170.98:9901/tsfile/live/0109_1.m3u8
宁夏卫视,http://218.13.170.98:9901/tsfile/live/0112_1.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
山东卫视,http://219.147.3.106:4455/newlive/live/hls/48/live.m3u8
